Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1 Score,Training Time (sec)
Logistic Regression,0.8774295290782875,0.8666004097113766,0.8756112745981866,0.8666004097113766,0.8668583519233292,172.31
Gaussian Naive Bayes,0.867460410021855,0.8658296655375941,0.8882256555261023,0.8658296655375941,0.868525273982925,2.07
Random Forest,0.7660198063982882,0.7326126199217086,0.7923208637719779,0.7326126199217086,0.7392133706309864,13.65
Decision Tree,0.12354912808238976,0.11794414133014218,0.22228791685928775,0.11794414133014218,0.1418903674227154,6.28
